Name,On a Scale of 1-5 Rate the Place,A Detailed Review of the Place
Kaushik G,4,"This is a beautiful garden created in the memory of the legendary film personality cum leader NTR and we had visited the same during our sightseeing in Hyderabad. This place is located on the banks of Hussain Sagar Lake. We paid 20 rupees per person entrance tickets. Inside there are many paid rides like toy train, swing etc. We walked around the paved walkway in the middle of well maintained manicured lawns, beautiful flowers and fountains. Good to visit this along with Lumbini Park and boating in Hussain Sagar Lake."
Jayavel D,5,Very beautiful place and construction was tremendous and shows the passionate of the person who constructed.
Manohar M,4,Great place especially the planetarium was an eye catching where one cannot resist wondering with time travel.The best place one should visit
Kashyap Kocherlakota,5,"I had been to this place long ago and I still remember the fun I had here. I had been for a social gathering and the place can be customized so well according to the requirement. It is a great place for all kinds of corporate parties, and get-togethers.  Adventure activities are also present and is a well maintained place.Boating is also available."
OMKAR PAGADALA,5,I have enjoyed a lot by visiting this zoo. It's is a very big area. And animals are taken care very nicely.
Sohail S,4,"If you have a phone with decent camera capabilities, that's more than enough to capture stunning pictures for your Instagram/WhatsApp dp uploads. You should visit the place after 6 pm, which is when the lighting starts.Have uploaded some pictures. Let me know how you find them.Thanks!"
Naren,4,Durham cheruvu is a beautiful place spend a stress free evening. It's located near Raheja mind space Madhapur. The current TS government concentrated to develop this lake as a beautiful picnic spot for hyderabadies.... Njoy beautiful evening.
Oneil,4,This is one of the places worth visiting when in Hyderabad. It has been maintained & kept fairly clean & enforced by their vigilant security staff. The only short-coming is the rates fixed by the guides there. INR 1250 charged by them is a little excessive.Electronic audio guides need to be installed by the Government/Management at the earliest.
Connector67318695625,4,Rides were very thrilling and worth the money.And Special mention to a mission interstellar worth having a ride there😀😃😍
Traveller,3,It is crowdy market. Any one really wants to enjoy some ancient article for eg night lamps .Giftboxes  Necklaces Bengals dryfruits shawls has to be definitely. Visit this Charminar.Nice building.
TheoP0001,5,"Especially on the weekends, the colours and tastes are breathtaking. But brace for enormous crowds. Yet, we never felt scared or concerned. But yes, there are thousands of merchants selling every cheap bangle, scarf and shoe you can imagine with dozens of fruit vendors and drugists.  All in the open space around the historic monument. But brace for the crowds. "
Arunkumar,3,I didn't find parking on the day of Christmas. it's very crowdy. A good place to visit to have a fresh air and surrounded by the animal planet.
Amit Khare,4,Do’s 1. Reach early.2. Take a bus tour at the earliest to first know the place and then prioritize the locations. 3. Prioritize as per own choice. 4. Carry water. Don’ts 1. Waste time in initial photography as there are many places to click pics. 2. Don’t wait for kids rides till the end as the crowd increases towards later half. 
Appu M,3,It was actually great experience but tiresome ... Once u have entered its Mandatory to complete whole tour ... Food inside is very costly .. and they don't let you take your own food
Jaykann,5,Must to do while you are in Hyderabad. Plan one full day activity as so much things to see and activities to do. This place entertainers not only kids and teenagers but to all age groups. Well organized guided tour and memorable experience from the moment you step in until you leave the place. Whole property is very well maintained. Plenty of photo options for photography lovers.While we come across each sets it reminds of some movie of any Indian language. Highlight is Bahubaali set for our group. Lot of walking involved inside but great experience.Definitely with high standards and competitive comparison with other similar concept around the world. It was not really fully crowded probably because of school examinations time and week day as well. Great memorable experience. Descent food options available inside at decent price range. Definitely 5 stars and each penny worth spending.
NITASH,5,The view from this Temple is beautiful. Cameras aren't allowed here so you can't click pictures of the views. It's squeaky clean and we had a good visit here.
BhaskarVVB,5,"If you are a runner or a walker, this 10 Km worthy physical effort early in the morning. I was fortunate to run around this lake at least three times in the past few weeks. Highly recommended for fitness buffs, Beware of the pollution in certain pockets of this route."
Kishore W,2,Its but on a grand  scale but ppl dobt maintain cleanliness at all  they litter everywhere...and hardly use garbage cans...the toy train was fun..but wish ppl start realizing the importance of cleanliness
Greg48,4,"This was an fun way to spend a few hours. It is listed as the World's largest film studio, and indeed the tram tour dovers acres of land and a multitude of film sets. You can possible see ongoing filming and the attractions and occasional performers that you meet are entertaining.As an visiting American, I wasn't familiar with the films that had been made here, but nonetheless was impressed with the studio lots and the tram tour. Everything was professionally done and the staff was good about getting people back ontime after each stop. I note that the tour was not in English, but that didn't really affect my ability to enjoy and understand what we were seeing."
Daydream23952088583,5,We were group of 45 and we enjoyed a lot here. All the staff are too supportive. They helped us on priority for all entry process. 
SoloMTraveler,5,"The biggest Park in Hyderabad. Hundreds of animals, birds, species that you can have a look. Normally weekends are busy. Recommended on weekdays."
Nimmagadda D,5,hep   this the first science centre i  visited with great practical experience you can  get  from here trust me you can get a great experience vistit this place
Konganapally Laasya,4,Since I am an Indian Hindu my family has some traditions And since I am 10 years old i have to start wearing half sarees For that we need to throw a party as my first day wearing half sareeWe threw that party in Ramoji Film City hawa mahal and everything was great the food the atmosphere and everything we book hotel rooms in Tara hotel and we stayed for a night the next morning we did a photo shoot in Ramoji Film City The reason I gave four stars is because it was really expensive it nearly cost 3 lakhs and the next morning my rooms shower broke and the hair dryer was not working But still you should visit Ramoji Film City cause it’s the greatest experience I’ve ever had 
AbhayKrSinha,4,"This is a wonderful place to stroll & enjoy the Hyderabad culture. You can also come here by train and the nearest station is Necklace Road. Beside the lake, there is all around parks, where you can have the quality time with your family & friends. Can have a boat ride till the middle of Buddha Statue. Speed boat costs 345 Rs. for 04 person & ferry will cost 55 Rs. per person. Can enjoy local foods along with the international food outlets. There are two places from where you can have the boating facility. One is very crowded but another is having less crowd which is closer to Necklace Road railway station."
Rajesh Ramamurthy,5,"The sheer enormity of this place means travelers are bound to be left wondering about the logistics of moving around. Believe me, as a family of four including two children, we found the logistics was handled seamlessly. The guides were well informed and the trip moved in a sequential manner. Facilities such as rest rooms, restaurants etc. were also positioned to the advantage of all guests. Highly recommended"
Tourist40373234933,4,Wonderland is nice we enjoyed with our friends nice place to visit we ride all the rides not only single time more than three times it's superb
jastmeet,5,My first ever visit to this so spiritual temple........temple located at such a height that entire city Glimpse appears therefrom.....
kurukuntla raviteja,5,Zoo park is located in Hyderabad it is children park there is all types of animals we can see in zoo and boating is there and we can see the museum is also there we can enjoy with family and friends it is good place to children to learn we have must watch with children
koteswararao,3,ln theake in it area with big houses now lake is small tha now big hotels for wedding and parties coloneys 
Mythri Sekhon,5,"Nice place and a great stress buster specially the evenings. Had a great time. All kinds of food and snacks are there and all are good to eat, the tea is amazing. Good place to play for small children. "
HARISH,4,nice and big garden...you can visit full garden via a small train in ntr garden with a nominal fee..
Bhavesh Bariya,1,Terrible experience...Started the journey early morning...7.30..very far isolated from main city. They don't allow any kind of food item... selling their food items in their stalls at very high rates....20 rupees item available at the rate of 80 rupees. Also all the items are fast food...so small children and elderly may suffer from hypoglycemia...no healthy choices available...It's only money making business... ticket rates are already very high...the difference between adult and children rate only 200rupees...not in capacity to visit the tour by middle class...who have earned the money by hard work...No resting place with shadow at some points...can not visit again...After visiting the place you are the most tired person...Food must be available at reasonable price or visitors should be allowed food items to carry...
Praveen K,,"Visit to this magnificent fort is incomplete without attending light & sound show in the evening, which tells the story of fort and the city"
S R V,4,"NTR gardens near Hussain Sagar Lake is a garden where children go round to enjoy their outings on week days. For people like us aged above 60s it was a leisure place where we could see cactus gardens, beautiful lawns etc."
fudxplorer,5,A must visit fort if you are in hyderabad. A vast structure and lot of climbing to do. A lot of places to take pics. Evenings are crowded
Paradise41756759514,5,I like rides and swimmingI like food and rain dance and wavesI fully Enjoyed the woder full wonderla
Global-Bhatakanti,3,Science museum suitable for age group 6 and above. Personal experience is children below 6 doesn't understood much of what's showcased. Min suggested time to spend and require to see most things is 1 hr. Ticket price is INR 150 for all above 3 yr old. They should lower the children fee. Parking available in the premises but difficult to find on weekends and public holidays. On display is 160 milion dinosaur skeleton found in Telengana. Outside public premises has many antique idols and statues. Planetarium is right besides science museum. 
Shubham S,5,"Ramoji Film City, located in Hyderabad, India, is an awe-inspiring world of movie magic and a must-visit destination for all film enthusiasts. As the largest integrated film city in the world, it offers an immersive experience that transports visitors into the captivating realm of cinema. With its vast expanse, intricate sets, engaging activities, and impeccable hospitality, Ramoji Film City has undoubtedly earned its reputation as a world-class attraction.Set Design and Atmosphere:Upon entering Ramoji Film City, you are immediately captivated by its sheer grandeur and attention to detail. The set designs are exquisite, ranging from lavish palaces and picturesque gardens to bustling streets and quaint villages. Each set exudes authenticity, reflecting the diverse cultures and eras it represents. The attention to minute details, such as the architecture, props, and costumes, creates an immersive atmosphere that feels like stepping into a different world altogether.Studio Tours and Filming Locations:Ramoji Film City offers guided tours that take visitors through its sprawling studio complex. The tour provides a fascinating glimpse into the behind-the-scenes magic of filmmaking, showcasing various stages, sound studios, and post-production facilities. Additionally, visitors have the opportunity to explore popular filming locations, including recreated cityscapes, rural landscapes, and iconic landmarks. Walking through these locations evokes a sense of wonder and nostalgia, making you feel like a part of your favorite movies.Live Shows and Performances:The entertainment quotient at Ramoji Film City is unparalleled. The live shows and performances are a highlight of the visit, providing a delightful experience for all ages. From colorful dance spectacles and stunt shows to cinematic reenactments and musicals, every performance is meticulously choreographed and flawlessly executed. The energy and talent displayed by the performers are truly commendable, leaving the audience enthralled and entertained.Adventure and Fun Activities:Beyond the realm of film, Ramoji Film City offers a wide array of adventure and fun activities for visitors to enjoy. The amusement park within the complex boasts thrilling rides, water slides, and games that cater to adrenaline junkies and families alike. Additionally, the eco-zone presents an opportunity to explore nature trails, butterfly parks, and bird sanctuaries, providing a peaceful respite from the bustling film sets.Hospitality and Amenities:Ramoji Film City takes pride in its exceptional hospitality and ensures that visitors have a comfortable and memorable experience. The staff members are friendly, knowledgeable, and always willing to assist. The amenities available, including food courts, restaurants, and souvenir shops, are well-maintained and offer a wide range of options to cater to different preferences.Conclusion:Ramoji Film City is more than just a tourist attraction; it is a haven for cinephiles, a dreamland for movie buffs, and a celebration of the enchanting world of cinema. Its immersive set designs, studio tours, live performances, adventure activities, and top-notch hospitality make it an extraordinary destination that lives up to its global acclaim. Whether you're a fan of Indian cinema or simply intrigued by the art of filmmaking, Ramoji Film City guarantees an unforgettable experience that will leave you in awe."
Indusman248,3,"Spent some 20 minutes and found that the Lake experience can be enhanced with a museum, dining destination and Buddha meditation halls. We took a speed boat but event the boats can be made available of better quality with Guides."
The Route Edit,4,"This was my second visit to the fort. Last time we visited we didn't have time for the light and sound show so this time I made it a point to stay back for it. The fort itself is very beautiful provided you like historical places or else it would seem brick and mortar debri. Take a registered guide and remember to bargain for the rate coz without a guide it might seem boring. The view from the top is worth the climb and do check the amazing architectural acoustics of the fort. Coming to the light and sound show, I would suggest you give it a miss. They give you a complimentary odomos tube with the tickets so you can imagine the amount of mosquitoes you are about to face during the show. You will be so busy battling mosquitoes that the real battle stories wouldn't seem that interesting. I sat there and dozed off for a major part of the show. I like history and have watched lots of light and sound shows but I guess this experience wasn't that great for me. "
Niki,4,It's good basically we are from West Bengal it is our first time visit wonderla it's superb experience with my friends it's really awesome experience
Alok Kumar,5,Golconda Fort is in the outskirts of city... the tourist guide are must who explains the stories of glory .. they will take yiy back hundreds of years back.. in history... Good for visiting in a cloudy day.. as it's hot in summer.. Specially if sun is scrotchy .. govwirh goggles and umbrella
Amit Anshu,5,"Great place to hangout with friends and family ,some much new things you will come across ,there is bahubali set also there is artificial foreign country, artificial village everything you will see there wht you see in movie..."
Muneer,3,It’s a very beautiful and relaxing place for all family I and my family spend a cool 😎 time on this trip 👍🏻
shirin t,5,We went there another couple. It is unbelievable place no one can rate it less then 5. If in Hyderabad should go. It's a whole day visit place. Try going after August. Or may be winters. 
OctOriental,4,"Straightaway you get a feel of history of an old fort. It looks good as well, spanning a great distance from left to right. But do beware, there are several spots where the guards warn you not to venture into as some stone structures have loosened up and could collapse. Some people disregard the warnings. Well...The fort has toilets. Climbing a few steps does afford good views. But you could go all the way up. Guides are there everywhere and could try to inveigle you by authoritatively directing you away from your chosen path as if it's not the way to go. It's easy to shake them off. Just ignore. But if you have a lot of time to spend there and are interested in history, apocryphal or not, maybe a guide could be helpful. But at the entrance there's a stone with brief history inscribed on it. Do read it to get some first hand history."
ramchowdry,5,"Wonderful temple view and recommend to visit with family .Preferably in the evening be there by 6:30 to 7:00  , really amazing temple ."
amitdon2,3,Ntr park is big but now it's become old.all rides are old.we went on the toy train which goes round the park.
Explore38396641487,5,"Its an amazing experience with having fun in this wonderful wonderla with friends,it's totally mood changing vibe to youth , myself i enjoyed alot with my friends."
Adeeb unisa,3,I did not like this place .and For those who are looking to go here visit if you have plenty of time.
ramasamy s,4,dinosorium is very good and the museum gives better view and enjoyable pleasure to both adult and children. can spend 1 hour here
Trek06071534573,5,Enjoyed with my wife for the first time and it was so good and food was very tasty must visit place for couples
Sanjay Dugar,3,The place is too crowded... Even during covid it was too crowded... The char minar has historical importance to city... The place is though not well maintained... 
Dream14850484228,5,Most amazing experience we ever had. The name itself created wonders. Mission Interstellar was really awesome. Finally it was fun filled with beautiful memories
Vipin Tiwari,5,"visited this place last month with my friend ..very good and cleanly historical place must visit once , near to hyderabad take bus from anywhere in hyderabad to reach destination"
Relax05185638492,5,"It was good experience Full of Fun and all staff is very coperatiive,food was best it is delicious full enjoy thanks wondrala team "
Nazura Javed,3,"The place is in ruins , needs better maintenance  and amenities like toilets. The approach road is through crowded narrow roads. Reaching the top of the fort requires a bit of stamina for one has to climb up steps and it can be a little hard for those not used to it. Also the day we went the place was pretty crowded.The good thing is that one does get a feel of history (especially if one is somewhat aware of Deccan India history) and also a great view of the city once you reach the top of the fort."
Companion42843567758,5,Wonderla is a awesome we basically came with friends this is our third time visit but still we didn’t get bored about wonderla we want to come again and again to wonder 
NG,1,Very sad state of garden - totally run down - absolutely avoidable - lovely trees n horticulture but on the whole sad.
3gautamk,4,Nice place to chill. Slightly polluted at the edges but nice place to chill. There is sailboat clubs sailing on Sunday. Nice Buddha statue in the center and a huge Indian flag by the side. Very peaceful but hope they clear the plastic refuge
HARISH,4,nice and big garden...you can visit full garden via a small train in ntr garden with a nominal fee..
Amazing_Neo,5,Great collection of science articles and interactive demos that allure young and old. The equipment kept there is really fab and makes everyone wanna try them out. You can easily spend >3 hours there. The 3D show for underwater life is also good.
farzana i,4,"Nice place to visit with friends in the evening, take a leisurely stroll with friends - sit on the benches and enjoy the breeze... good to experience"
NG,1,Very sad state of garden - totally run down - absolutely avoidable - lovely trees n horticulture but on the whole sad.
Nagesh Eco Ventures,4,Awesome place to see all the wild animals in one place... Paisa Vasool... especially for children of all ages.
P V NEELAKANTA R,5,it is a nice place to visit with family and friends on weekend .you can spend time at leisure here on weekends
Rakesh,4,"Dont Rush your day by planning half day zoo tour, I suggest anyone to allocate whole day here. if possible, one routine suggestion i would like to give here, Plan it on weekdays (except on closing day- Monday i guess), because when we went there on Sunday, its totally Crowd, and you may not like it, people bring mats and water cans then eat food on lawns.if you are a pack of 10 or so, then you can book a resting room or retiring room also, you can google for that info.Coming to imp part, never miss lions, tigers and lot of animals like giraffe, also white tigers.Most importantly follow the path guided by them, because you may end of moving in the zoo walking extra without watching all animals. Zoo is very very bigHave fun. Enjoy your trip"
avenkat2016,5,"even with limited resources, they have managed to put together a nice collection of experiments and phenomena for kids to understand and explore. great for kids under 13, who are into science. the degree of hands on interaction ensures kids learn and enjoy science more, rather than having fancy things behind glass cases."
Abhilash K,4,This is one of the big zoos in India. There are lot of species available here. You can visit here and enjoy with your kids.
Nikola Nesic,5,"Take off your shoes and enjoy the marble under your feet. Beatufiul place, with astonishing view from it."
Bittu Blaze,5,Wonderla is superb experience...it's a fantastic place to chill out with loved ones ....our friends are enjoying alot ....here firstly we think about our luggage but thank God wonderla team service is awesome they providing the lockers and cloak room facilities it's really helpful for ...thank you wonderla
MyNameIs Shiva,5,It's a Balaji Temple and  a beautiful place where we get Peace for sometime made the temple with marbles looks great and the view of HussaiSagar from the temple makes us feel great.
arzoi k,4,Just stopped for 5 mins while passing from road.. view is gud.. boating also available.. cud not try..
EASWAR52,3,"Historical CHARMINAR is the centre of attraction in Hyderabad. It is located in the midst of buzzing bazars. It is a simple structure containing four minarets. There are there are stairs with narrow & steep steps. In the upper floor one can see archways leading to balconies overlooking all four sides. These balconies provide beautiful views. Local culture is visible from the structure. The structure loses its worth due to the poor maintenance. In view of the steepness of the steps older people & those with knee issues will have difficulty in climbing the stairs. Though it is treated as a mosque it doesn’t look like one. Congested location makes the visit all the more difficult. One can visit here only to cherish the history and the view from here. 
"
Scenic29271897391,5,Rides are so amazing and thrilling and also new rides are soo adventurous loved the rides...wonderla never disappoint us.We recommend to friends and family 
krajeevc,5,"This zoo is one of the best in India.You have buggy services to drop/hop you to 5 points each of which covers a significant portion of zoo.There is a seperate lion safari bus ride and a train  ride.The rest rooms are not up to the mark and need to be upgraded. Food / Canteen facilities are good and reasonably priced. One needs to spend 4-5 hrs at least to cover the entire zoo.If you do not want to explore on foot and get overly tiered, use the buggy service or rental cycles. Keep hydrated throughout. This Zoo is worth visiting."
pvrkaushik,4,"Dense Green park in the heart of the city... Couple retreat... And great place for kids too... Fun rides, eatery etc... U can beat the heat with this place's greenery"
pvrkaushik,4,"Dense Green park in the heart of the city... Couple retreat... And great place for kids too... Fun rides, eatery etc... U can beat the heat with this place's greenery"
RiseRichard,1,I decided to visit Durgam cheruvu with my parents and family on Sunday. Entry fee of Rs 30 doesnot include boating. Its small park with no place for either walk or sitting and there is no lawn at all. To sum it up its waste of time.. The lake is dead.. The park is destroyed and vandalized. You will come across broken benches and litter every where. If the stench does not make you ill then the cool drinks or snacks will surely make you ill. Out side food is not allowed and you are forced to buy stale food. I would rate it negetive but as 1 is the least possible rating that I can give for this park.. so be it
Rohit Bandil,1,"I had gone on 1st jan 2020 with my family.It was huge rush there and there was no management to handle those many peoples. Unfortunately rain had come and people started breaking there queue and stated rushing into the temple. Temple does not have capacity & space to handle more crowd.Small children were crying in the rush and temple floor became very slippery due to water. There was no management, children were crying, entry side people were breaking queue.It was almostt stampedelike a situation in the temple but fortunately, by god grace, r an hia stoped after some time. I would not recommended & suggest to visit on any festival or an new year day like.Temple is very good and place is very calm. You can plan it on any other day.d"
Umesh R,5,Historical place One of most attractive place in hyderabad. Not well maintained outside monument to much of rush. Good for trekking.
Dr yogita chaudhuri,5,"Very well organised ,well executed,trip .Helpful and polite staff .As contrast to online reviews eateries were reasonable .Its too vast obviously one cannot target every thing in one go !!!its a paisa vasool trip"
Gurudath,1,"This once lush lake has sadly been turned to a swamp with buffaloes strolling in the knee deep waters, seeking respite from the heat. The authorities' apathy and absolute lack for preserving lakes and water bodies has spelt death to this place. There's nothing now worth going to this lake."
Devaa,4,Its a huge zoo almost in the the heart of the city. There is nothing extraordinary here common animals which you see in any other zoo in India is what they have here. Its high time the zoo management should go abroad nearby Singapore zoo which must be less then half the size of this zoo and learn new techniques and vision to install this birds an animal in more attractive way .
Wilayat,5,Travel in metro train and get free to and fro transport from LB Nagar and Nagole metro stations; and also get Rs. 100/- worth redemption coupon for each entry ticket.
Ashwin Vemuri,5,"Pride of Hyderabad, Romantic Locations All Around, Sailing Club Has The Best Views Over Drinks & Dinner."
Elizabeth L,5,"We had a BLAST! This was my last day in India and I was flying out of Hyderabad, so we came to Charminar the night before. For Americans, bargaining is not a thing - how fun it was and amazing deals we received on lots of jewelry items for me to take home to my friends and family. The actual Charminar architecture is breathtaking and is a must-see for anyone in the area."
Priya,,Wonderla it's a amazing experience we spent the time with our loved ones it's such a memorable day....thank you wonderla
salony s,3,The monument is worth visiting as it’s beautiful but it’s super crowded. The best part is the market around Charminar.
thdaniel8,5,
Kaushik G,4,"We had visited the beautiful Birla Mandir during our sightseeing in Hyderabad. From the parking area, one has to climb decent count of stairs to reach the main temple. We had to remove shoes and submit mobile phones before starting the climb. Entire temple complex is built out of milky white marble and looks stunning. The views of Hussain Sagar Lake from the top is mesmerizing. We liked the ambiance and the beautiful decor of Lord Balaji inside the main temple."
Ajit A,4,"This mandir is very well maintained and the rules are also very strict. You can't carry even your mobile inside the mandir. Although, from top you would like to take photos of the city. Auto options are limited and if you miss it then you will have to walk till the main road to find one. Whatever be the case, this temple should not be missed."
Oneil,4,Very pretty temple which encompasses several faiths & religions. Strategically located on top of a hill which overlooks the entire city.Very clean. Very thoughtful of the management to provide soft mats on the marble floor & steps which makes it very convenient to walk on rather than burning your soles.
Sandeep Bhojani,3,"The authorities are good in terms of maintaining things but we had been on a sunday that too in christmas vacation, so it was very crowded. It is difficult to find few locations of the animals although you can see them in them in the Map on the main road. As when you move inside from the main road there are very few guiding maps who would suggest you the way. Toilets are pay and use and there is additional fee for aquarium, noctrunal animals, fossil mueseum etc. A good place to visit but avoid on public holidays and summer hot days as need to walk a lot if u want to explore all the animals, as the electric car and the mini train would not offer you sights of important animals like lion, tiger etc"
Biswajeet M,5,"It was nice time to spend in RFC. Excellent service by all.but one day can't cover all area but the place which we covered it's awesome ,will visit again "
Vikas D,5,Amazing boat ride and view of the Buddha statue. We were expecting smelly lake but fortunately it was not and it was an enjoyable evening with business colleague Nice weekend getaway
Alok Kumar,5,Visit the hussain sagar lake in evening.. take a stroll. Enjoy the light and sound show... take a boat ride .. and it will be a different experience... something new.. away from hustle bustle of mega city 
Voyage59979330144,4,The rides were amazing and the quality of pool was nice and the overall rides and staff was coperative with the guest 
Machotraveller,4,The Hussein Sagar lake is a prominent landmark of Hyderabad. You can either walk leisurely along the lake side and take in the wide vistas of the city or go to the boating area which has a garden a food courts too. Take one of the boat tours which take to you to the tall Buddha statue in the centre of the lake. In the evening the statue is lighted up and is mesmerising.You may go in the larger boat as part of the crowd or also hire a smaller one for exclusive or family use. A wonderful place to spend an evening.
Darshan N,3,Beautiful tiny island between Hussain Sagar Lake needs to travel in Ferry ⛴ Service.. Beautiful lighting arrangement on island clean place breakfast is available here on island Water quality in Lake is poor you can see nice view of Hyderabad city from here
Visurya,5,One of the best Temple which I had be visited... And the view from the temple part is Osm lobe to visit for my next visit... One of the best constration and  Memories of hyd
S R V,4,"NTR gardens near Hussain Sagar Lake is a garden where children go round to enjoy their outings on week days. For people like us aged above 60s it was a leisure place where we could see cactus gardens, beautiful lawns etc."
Michael M,5,"We were in Hyderabad for work but I was taken with colleagues to the Fort so I could see some of Hyderabad not just do work.The old (800+ years old) decorative carving showing the connection to what is now called Iran was incredible.There are several locations that have perfect acoustics - experiencing them is the only way to give it justice as words fail. For example there is a spot where if you clap you can hear an echo but walk two steps away from that spot and there is no echo. The age of the Fort is comparable to the early Norman kings of England - I had no idea that buildings like this existed in India that far back.There is a lot to see, and a lot to climb - depending on how adventurous you are you could climb to the top mosque.Alas there is a entry fee for Indians and a much higher fee for foreigners......"
OnAir54421994063,5,It was awesome experience thank you wonderla for making the day more memorable and Tqsm❤️❤️ for the surprise ❣️❣️ #ilovewonderla❣️❣️
Jalpesh Rojasara,3,"Iconic structure of hyderabad, very crowded place. Local shopping and few photos that's it. Nothing extraordinary. Parking problem if go by private car. "
Gerado Clausell Cabtavella,5,"1st place in the world to visit, too many locations tlthose make the movies, uncountable picture you can take that it seems like you're on another countries"
The Route Edit,4,"This was my second visit to the fort. Last time we visited we didn't have time for the light and sound show so this time I made it a point to stay back for it. The fort itself is very beautiful provided you like historical places or else it would seem brick and mortar debri. Take a registered guide and remember to bargain for the rate coz without a guide it might seem boring. The view from the top is worth the climb and do check the amazing architectural acoustics of the fort. Coming to the light and sound show, I would suggest you give it a miss. They give you a complimentary odomos tube with the tickets so you can imagine the amount of mosquitoes you are about to face during the show. You will be so busy battling mosquitoes that the real battle stories wouldn't seem that interesting. I sat there and dozed off for a major part of the show. I like history and have watched lots of light and sound shows but I guess this experience wasn't that great for me. "
Santkal,5,Awsome place to visit as it gives very nice view on night as it gets filled with so much lights in night.
Roving62608674927,4,All rides are good n the water slides are goodBut should have warm water in parks n showerIt is very important please note
sramanujamk,5,A must place to visit with children. Take a guide and learn both history and acoustic engineering mastered by our ancestors before the invention of electrical sound systems and communications! The whispering wall and alert arena are must-watch.
SSDNY,2,The lake looks very pretty but as you get close you will find the smell. I am wondering if the guest complains about the hotels on the lake.  Shame on the municipality of Hydrabad for not doing anything.
